epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.994735598564148,0.0010000000474974513,0.06450575590133667,0.9967243671417236,1.0,0.02569650672376156,1.0
1,0.9995905756950378,0.0010000000474974513,0.026090843603014946,0.9999122619628906,1.0,0.02165038138628006,1.0
2,0.9995905756950378,0.0010000000474974513,0.020290544256567955,0.9999707341194153,1.0,0.020606495440006256,1.0
3,0.9996490478515625,0.0010000000474974513,0.019860681146383286,0.9999707341194153,1.0,0.011332525871694088,1.0
4,0.999298095703125,0.0010000000474974513,0.022389443591237068,0.9998829960823059,1.0,0.019457681104540825,1.0
5,0.9995027780532837,0.0010000000474974513,0.017728928476572037,0.9999415278434753,1.0,0.021370531991124153,1.0
6,0.9995613098144531,0.0010000000474974513,0.017875634133815765,0.9999707341194153,1.0,0.019463015720248222,1.0
7,0.9995320439338684,0.0010000000474974513,0.02002868242561817,1.0,1.0,0.01748429425060749,1.0
8,0.9999415278434753,0.0003000000142492354,0.01555895060300827,1.0,1.0,0.011605666019022465,1.0
0,0.9945308566093445,9.999999747378752e-06,0.06342236697673798,0.9990056157112122,1.0,0.024229858070611954,1.0
1,0.9999415278434753,9.999999747378752e-06,0.026853712275624275,0.9999707341194153,1.0,0.023613426834344864,1.0
2,1.0,9.999999747378752e-06,0.02443143166601658,1.0,1.0,0.023015474900603294,1.0
3,1.0,9.999999747378752e-06,0.02305435761809349,1.0,1.0,0.021940380334854126,1.0
4,1.0,9.999999747378752e-06,0.02136615850031376,1.0,1.0,0.019985532388091087,1.0
